statVar,statVarName,place,placeName,date,value
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100180,Attalla City School District,2017,14.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100660,Chilton County School District,2017,22.9
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101140,DeKalb County School District,2017,28.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101200,Demopolis City School District,2017,32.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101690,Guntersville City School District,2017,25.7
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101830,Jackson County School District,2017,26.3
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101860,Jacksonville City School District,2017,33.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103000,Sheffield City School District,2017,40.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101640,Geneva City School District,2017,39.0
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102220,Madison County School District,2017,9.0
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102400,Monroe County School District,2017,30.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102820,Randolph County School District,2017,25.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103360,Tuscaloosa City School District,2017,25.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103430,Vestavia Hills City School District,2017,3.0
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100100,Arab City School District,2017,22.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100540,Calhoun County School District,2017,15.3
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102370,Mobile County School District,2017,28.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102700,Phenix City City School District,2017,28.4
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103090,Sumter County School District,2017,49.3
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0103300,Thomasville City School District,2017,4.1
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100001,Fort Rucker School District,2017,8.5
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100008,Madison City School District,2017,7.9
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100720,Clarke County School District,2017,34.9
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0101290,Elmore County School District,2017,17.8
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102310,Marion County School District,2017,27.6
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0102350,Midfield City School District,2017,35.1
dc/l81bkq93ypbs3,"Percent of Household: Public School, Family Household, With ACSEDChild, Below Poverty Level in The Past 12 Months",geoId/sch0100420,Blount County School District,2017,22.3
