DCID,Field,URL,Status_Code,Message,Is_404
dc/base/Rwanda_Census,dataset.source.url,https://dataportal.opendataforafrica.org/,403,HTTP Error 403,No
dc/base/Singapore_Census,dataset.source.url,https://www.singstat.gov.sg/,403,HTTP Error 403,No
dc/base/SouthAfrica_Census,dataset.source.url,https://dataportal.opendataforafrica.org/,403,HTTP Error 403,No
dc/base/UAE_Population,dataset.source.url,https://bayanat.ae/,0,URL Error timed out,No
dc/base/USA_DOL_Wages,dataset.source.url,https://www.dol.gov/,403,HTTP Error 403,No
dc/base/USBTS_Tract_Household_Transportation,dataset.source.url,https://www.bts.dot.gov/,403,HTTP Error 403,No
dc/base/USDA_AgricultureCensus,dataset.source.url,https://www.usda.gov/,0,The read operation timed out,No
dc/base/USDA_AgricultureCensus_Agriculture_StatVarAgg,dataset.source.url,https://www.usda.gov/,0,The read operation timed out,No
dc/base/USDA_AgricultureSurvey,dataset.source.url,https://www.usda.gov/,0,The read operation timed out,No
dc/base/USDOL_ETA539,dataset.source.url,https://www.dol.gov/,403,HTTP Error 403,No
dc/base/USFEMA_FloodInsuranceClaims,dataset.source.url,https://www.fema.gov/,403,HTTP Error 403,No
dc/base/USFEMA_NationalRiskIndex,dataset.source.url,https://www.fema.gov/,403,HTTP Error 403,No
dc/base/USGSWaterUse,dataset.source.url,https://www.usgs.gov/,405,HTTP Error 405,No
dc/base/US_CCD_Enrollment,dataset.source.url,https://nces.ed.gov/,0,URL Error timed out,No
dc/base/US_CPI,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/US_ITA_Economic_Activity,dataset.source.url,https://data.commerce.gov/,403,HTTP Error 403,No
dc/base/US_SAT_ACT_Participation,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_SAT_ACT_Participation_state,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_Texas_Diabetes,dataset.source.url,https://healthdata.dshs.texas.gov/,403,HTTP Error 403,No
dc/base/US_UrbanEducation_School,dataset.source.url,https://www.urban.org/,403,HTTP Error 403,No
dc/base/US_UrbanSchool_Covid_Directional_Indicators,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_UrbanSchool_Enrollment,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_UrbanSchool_Finances,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_UrbanSchool_Retention,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_Urban_MathsAndScience_Course_Enrollment,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/US_Urban_Schools_Teachers_And_Staff,dataset.source.url,https://ocrdata.ed.gov/,403,HTTP Error 403,No
dc/base/Uganda_Census,dataset.source.url,https://dataportal.opendataforafrica.org/,403,HTTP Error 403,No
dc/base/Vietnam_Census,dataset.source.url,https://www.gso.gov.vn/en/homepage/,0,URL Error [SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1010),No
dc/base/WRIS_India_Rainfall,dataset.source.url,https://indiawris.gov.in/wris/#/,0,URL Error timed out,No
dc/base/crdc_instructional_wifi_devices,dataset.source.url,https://civilrightsdata.ed.gov/,403,HTTP Error 403,No
